kind,title,category,body,external_url
rule,図書館の利用ルール,施設利用,館内では携帯電話での通話を控え資料を借りる際は学生証で貸出手続きを行ってください。通常貸出は5冊まで14日間です。,""
rule,授業の欠席連絡,授業・出欠,やむを得ず授業を欠席する場合は授業開始前までに担当教員へ連絡してください。公欠の申請には理由を確認できる書類が必要です。,""
rule,情報メディア演習室の利用,施設利用,飲食物は持ち込めません。授業時間外に利用する場合は学生証で入室し利用後は端末からログアウトしてください。,""
career,キャリア相談の予約方法,進路支援,キャリア支援センターでは進路相談を平日に受け付けています。学内ポータルの予約画面から希望日時と相談内容を登録してください。,""
career,インターンシップ参加前の確認事項,インターンシップ,参加先と日程が決まったら担当教員へ届け出てください。保険加入状況と緊急連絡先も参加前に確認します。,""
career,応募書類の添削支援,就職活動,履歴書やエントリーシートの添削を希望する場合は提出期限の5営業日前までにキャリア支援センターへ予約してください。,""
event,前期履修相談会,履修支援,前期の履修登録に関する個別相談会を4月3日から4月7日までラーニングコモンズで実施します。,""
event,学内合同企業説明会,就職活動,幅広い業界の企業担当者から仕事内容と採用情報を聞ける説明会を6月18日に体育館で開催します。,""
event,レポート作成講座,学習支援,資料の探し方と引用のルールを学ぶ講座を5月12日に中央図書館で開催します。参加には事前予約が必要です。,""
other,学生相談室の案内,学生支援,学業や人間関係など学生生活の悩みを専門相談員に相談できます。相談内容は本人の同意なく学外へ共有しません。,""
